period,resource,kind,capacity,full_demand_load,headroom_xi,critical
21,K16,edge,1728000.0,50061.89073125,34.51727401341107,False
21,K15,edge,6048000.0,328371.09898539446,18.418186066578922,False
21,K18,edge,1728000.0,3703.125,466.63291139240505,False
21,K19,edge,1728000.0,24602.48624375,70.23680382867728,False
21,K20,edge,1728000.0,24492.96502625,70.55087034779332,False
21,K21,edge,1728000.0,20396.41105882353,84.72078715301551,False
21,K22,edge,1728000.0,9620.62728625,179.6140676263068,False
21,K23,edge,1728000.0,30492.414874117647,56.66983107548981,False
21,K17,edge,6048000.0,198644.51454693355,30.44634790844448,False
21,K25,edge,1728000.0,27591.798705263158,62.627305253223035,False
21,K24,edge,6048000.0,155161.1546779157,38.97882825475531,False
21,K26,edge,6048000.0,111116.34443869692,54.42943637636219,False
21,K27,edge,6048000.0,74746.94421440913,80.91300672642232,False
21,K28,edge,6048000.0,52720.066797762905,114.71912627122539,False
21,K29,edge,6048000.0,5695.397263757116,1061.9101214390585,False
21,K31,edge,1728000.0,33183.529411764706,52.074026802807914,False
21,K32,edge,1728000.0,30813.58300235294,56.07916482377428,False
21,K33,edge,1728000.0,15299.652437349398,112.94374215858781,False
21,K34,edge,1728000.0,44388.66619411765,38.92885612834641,False
21,K35,edge,1728000.0,5296.719455294117,326.23966864487204,False
22,K1,edge,6048000.0,1285985.3954915367,4.703008308806103,False
22,K3,edge,2592000.0,78143.71208,33.16965538246286,False
22,K2,edge,6048000.0,1143542.41363696,5.2888287551702975,False
22,K5,edge,86932.180615,82792.55296705883,1.0499999999950265,False
22,K6,edge,29366.500423,27968.09564117647,1.049999999991587,False
22,K4,edge,6048000.0,975604.6443468767,6.19923248115415,False
22,K8,edge,46140.063039,43942.91718,1.05,False
22,K7,edge,6048000.0,882881.4949495329,6.8502964832734605,False
22,K11,edge,87551.520426,80493.9087682353,1.0876788289420205,False
22,K9,edge,6048000.0,758243.5114338209,7.976329383371012,False
22,K12,edge,42906.161145,40863.010614117644,1.0500000000043186,False
22,K10,edge,6048000.0,671885.890133674,9.001528516690133,False
22,K14,edge,1728000.0,13252.702077647058,130.38850416131865,False
22,K13,edge,6048000.0,625038.8935493432,9.67619785331414,False
22,K16,edge,1728000.0,86946.4730575,19.874296670518515,False
22,K15,edge,6048000.0,475588.5311369089,12.716875206267213,False
22,K18,edge,1728000.0,1899.03845875,909.9341785512958,False
22,K19,edge,1728000.0,18875.71118875,91.54621951568612,False
22,K20,edge,1728000.0,23265.88695,74.27182998497291,False
22,K21,edge,1728000.0,39257.180624705885,44.017424901688194,False
22,K22,edge,1728000.0,24546.95808125,70.39568790073093,False
22,K23,edge,1728000.0,44978.83145882353,38.418072323242114,False
22,K17,edge,6048000.0,298985.4978177841,20.228405873003037,False
22,K25,edge,1728000.0,20699.99628,83.47827587145827,False
22,K24,edge,6048000.0,254366.66171236135,23.776700764501513,False
22,K26,edge,6048000.0,218125.70129367252,27.72713148487396,False
22,K27,edge,6048000.0,160254.18169134183,37.740044822348366,False
22,K28,edge,6048000.0,114917.07023309698,52.62925679998872,False
22,K29,edge,6048000.0,24091.608944971536,251.04176370347213,False
22,K31,edge,1728000.0,18435.294098823528,93.73324834076145,False
22,K32,edge,1728000.0,46965.23453764706,36.79317301428241,False
22,K33,edge,1728000.0,30914.235106024098,55.89657949076261,False
22,K34,edge,1728000.0,85079.60777647058,20.31038982384556,False
22,K35,edge,1728000.0,22405.196318823528,77.12496580751832,False
23,K1,edge,6048000.0,1191508.0215769606,5.075920506179616,False
23,K3,edge,2592000.0,72747.96626588235,35.62986201602734,False
23,K2,edge,6048000.0,1059184.6542322303,5.710052516181898,False
23,K5,edge,86932.180615,78460.56567058823,1.1079729016991708,False
