scenario,lambda_star,bottleneck_argmin,bottleneck_near_set,bottleneck_class,near_set_size,runner_up_margin,stage2_satisfaction,stage3_variation,feasibility_tolerance,draw
efficiency,0.8228569405957309,source:24,source:24,source,1,0.0005801100798841599,0.8853675920965755,6.028536021913039,1e-09,80.0
efficiency,0.853056649625514,source:22,source:22,source,1,4.3240385090407986e-05,0.9055736356726187,5.6603732414208,1e-09,81.0
efficiency,0.8357528306821119,source:20,source:20,source,1,0.0001860763923434869,0.8945297729830615,5.761690565854737,1e-09,82.0
efficiency,0.8061665946234465,source:19,source:19,source,1,0.00028049869600901085,0.8754824078391423,6.173628671692641,1e-09,83.0
efficiency,0.8798823529509229,edge:14:K12,edge:14:K12,edge,1,0.016847172069200233,0.9387631754521072,4.693797160842836,1e-09,84.0
efficiency,0.8902803643290139,source:23,source:23,source,1,1.8240312813556492e-05,0.9290659513185346,4.444746164730421,1e-09,85.0
efficiency,0.8737482469086578,source:24,source:24,source,1,0.0001361566008028483,0.9194280394812201,5.044085078070613,1e-09,86.0
efficiency,0.865722919116377,source:24,source:24,source,1,0.00029329647398939967,0.9136164752253784,5.2221074908149365,1e-09,87.0
efficiency,0.8467975349073232,source:24,source:24,source,1,0.0003502348356714523,0.9013120997991201,5.528715740525046,1e-09,88.0
efficiency,0.8642974403008679,source:19,source:19,source,1,0.0001357358975562859,0.9127205367638013,5.032428071348863,1e-09,89.0
efficiency,0.8116168741831729,source:24,source:24,source,1,0.0003636557402140591,0.8778635249222242,6.198764800206164,1e-09,90.0
efficiency,0.8211131429954852,source:19,source:19,source,1,0.0002839836792629724,0.8859804103836235,5.932804826391902,1e-09,91.0
efficiency,0.8382531411670814,source:18,source:18,source,1,0.0001360483113057066,0.8949273763396706,5.547244172045729,1e-09,92.0
efficiency,0.8297424587975878,source:19,source:19,source,1,0.0005826997187963206,0.8911796118417289,5.703061636904815,1e-08,93.0
efficiency,0.8720284416291693,source:20,source:20,source,1,0.00032216666477862194,0.917796550805783,4.913862985794078,1e-09,94.0
efficiency,0.8314677329685661,source:20,source:20,source,1,0.00048555168135576995,0.8909453645374703,5.8059139850211166,1e-09,95.0
efficiency,0.8628199007279315,source:24,source:24,source,1,0.00013551425665647352,0.9116817373469015,5.441472039189483,1e-09,96.0
efficiency,0.848294511163033,source:19,source:19,source,1,5.8269779675334115e-05,0.9016789578929334,5.51628292766625,1e-09,97.0
efficiency,0.8578477975222839,source:21,source:21,source,1,0.00046626086399764244,0.9083600918382181,5.605120715653263,1e-09,98.0
efficiency,0.7863472980326613,source:19,source:19,source,1,0.0005863107250592985,0.860086068002244,6.259774723776827,1e-09,99.0
efficiency,0.81570480523194,source:24,source:24,source,1,0.0002203659534493463,0.8804670796206711,6.351713498663254,1e-09,100.0
efficiency,0.8750416349903446,source:20,source:20,source,1,0.00019021276064100452,0.920028816850785,4.892616412605854,1e-09,101.0
efficiency,0.843340317852644,source:23,source:23,source,1,0.00012955798963777747,0.8986990428073233,5.958933674606794,1e-09,102.0
efficiency,0.846679319445346,source:22,source:22,source,1,1.9329288486666522e-05,0.9007048044869634,5.9133036540534505,1e-09,103.0
efficiency,0.8820000000131987,edge:11:K6,edge:11:K6;edge:25:K6;edge:26:K6,edge,3,0.012004801894973506,0.9477595584655821,4.722978776944679,1e-08,104.0
efficiency,0.870181799461217,source:19,source:19,source,1,0.00016008600295229798,0.916005180786498,4.908235630294105,1e-09,105.0
efficiency,0.8716712313133534,source:24,source:24,source,1,0.00028493882357307,0.9172561730058925,5.072241190948348,1e-09,106.0
efficiency,0.8551792722588608,source:24,source:24,source,1,0.00048806227336346673,0.9060302701780212,5.362248859789111,1e-09,107.0
efficiency,0.8589044790840095,source:24,source:24,source,1,0.00037390611045911106,0.9087890222230282,5.3474065330153735,1e-09,108.0
efficiency,0.8895638621341935,source:24,source:24,source,1,0.0002114931766667332,0.929177652719071,4.553885330680849,1e-09,109.0
efficiency,0.8119367473695569,source:19,source:19,source,1,7.755106996542233e-05,0.877633299499305,6.310952613121785,1e-09,110.0
efficiency,0.8593860557399182,source:24,source:24,source,1,0.0003679670837280195,0.909770350330068,5.466617309350872,1e-09,111.0
efficiency,0.8334124139403891,source:22,source:22,source,1,5.402755152753051e-05,0.8924783251778182,6.1086039118217945,1e-09,112.0
efficiency,0.8620201183707991,source:24,source:24,source,1,0.00025536724830210636,0.9110236331009275,5.133338096299191,1e-09,113.0
efficiency,0.8592457410124871,source:19,source:19,source,1,5.07897412849467e-05,0.9091564318983972,5.293175851868889,1e-09,114.0
efficiency,0.8569393898991307,source:19,source:19,source,1,0.00032739558660608035,0.9091508074187564,5.658698114837915,1e-09,115.0
efficiency,0.8763394579103889,source:23,source:23,source,1,0.00021576829306471033,0.9194589344254689,4.8969577193447265,1e-09,116.0
efficiency,0.8378992589068185,source:20,source:20,source,1,4.004082290007759e-06,0.8948161714775219,5.657726679692426,1e-09,117.0
efficiency,0.8469668670471674,source:23,source:23,source,1,8.128315569650257e-05,0.9009180236254032,5.775514067637917,1e-09,118.0
efficiency,0.8798823529319163,edge:17:K8,edge:13:K8;edge:17:K8,edge,2,0.011740621321141623,0.9332987839432132,4.589930471694392,1e-07,119.0
efficiency,0.7831456638181169,source:19,source:19,source,1,0.0003607011762687412,0.854608375904258,6.2715785170166125,1e-09,120.0
efficiency,0.8360399755747638,source:21,source:21,source,1,0.0006810544054654993,0.8937385900554152,5.8444943947922186,1e-09,121.0
efficiency,0.859960637140846,source:24,source:24,source,1,0.0005301908114426601,0.9099556452212463,5.240881318390089,1e-09,122.0
efficiency,0.8094144716555856,source:20,source:20,source,1,0.0009422998709976553,0.879709979480747,5.81903209524487,1e-09,123.0
efficiency,0.8621977634025901,source:24,source:24,source,1,0.00037605615006731046,0.9110008350419236,5.2845850462432065,1e-09,124.0
efficiency,0.8535345788702472,source:20,source:20,source,1,0.00019266295641557382,0.9054560321965208,5.535151876447516,1e-09,125.0
efficiency,0.8519843716888638,source:24,source:24,source,1,0.00038425293903830915,0.9044252377977056,5.510408232424114,1e-09,126.0
efficiency,0.8215462745837777,source:18,source:18,source,1,0.0003849247737358665,0.8841128060383243,6.105415627081334,1e-09,127.0
efficiency,0.8390278143447683,source:20,source:20,source,1,0.0005728274446808414,0.8973036283546177,5.842646755826,1e-09,128.0
efficiency,0.8430973857371618,source:24,source:24,source,1,0.00032801611778733255,0.8999816861839766,5.931608739394163,1e-09,129.0
efficiency,0.8023347463594155,source:19,source:19,source,1,0.0001658804419157268,0.8709892722444195,6.5460110427692495,1e-09,130.0
efficiency,0.8676451608464216,source:24,source:24,source,1,0.0006264559289066527,0.9171248115744028,5.2270333119501355,1e-09,131.0
efficiency,0.8697240235938635,source:22,source:22,source,1,0.00013159437708727773,0.9154744975851671,5.089823322429676,1e-09,132.0
efficiency,0.8713461237908587,source:24,source:24,source,1,0.0003273524781199498,0.9179905457523234,5.208439906497166,1e-09,133.0
efficiency,0.8688912832224641,source:19,source:19,source,1,0.00033148292494149625,0.9162385187711919,5.121882318128792,1e-09,134.0
efficiency,0.8256380241330835,source:22,source:22,source,1,0.00024899239571286554,0.8875841864140341,6.055983870384041,1e-09,135.0
efficiency,0.8601046506481788,source:19,source:19,source,1,7.689328080252653e-05,0.9098038331377756,5.341531009438945,1e-09,136.0
